callsign,cid,departure,arrival,session_start,session_end
JST935,1591076,YBCS,YBBN,2025-09-26 05:27:08+00:00,2025-09-26 05:30:18+00:00
UNX,1763891,YMMB,YMML,2025-09-26 05:27:06+00:00,2025-09-26 05:30:18+00:00
QTR002,1851106,OTHH,YSSY,2025-09-25 17:47:16+00:00,2025-09-26 05:30:18+00:00
JST517,1804435,YMML,YSSY,2025-09-26 04:26:25+00:00,2025-09-26 05:30:18+00:00
BOX538,843172,YMML,WIII,2025-09-26 04:39:41+00:00,2025-09-26 05:30:18+00:00
BARN35,1914271,YMES,YMML,2025-09-26 04:50:16+00:00,2025-09-26 05:30:18+00:00
JST521,1897746,YSSY,YMML,2025-09-26 05:07:37+00:00,2025-09-26 05:30:18+00:00
VOZ425,1475148,YPAD,YSSY,2025-09-26 04:32:49+00:00,2025-09-26 05:30:18+00:00
JST761,956763,YPAD,YSSY,2025-09-26 04:14:06+00:00,2025-09-26 05:30:18+00:00
UAE425,1300501,YPPH,OMDB,2025-09-26 02:27:27+00:00,2025-09-26 05:30:18+00:00
QLK2225,1376195,YSSY,YSWG,2025-09-26 03:31:03+00:00,2025-09-26 05:30:18+00:00
QTR53G,1779207,YPAD,YMML,2025-09-26 05:12:05+00:00,2025-09-26 05:30:18+00:00
VOZ1368,1253675,YMML,YMLT,2025-09-26 05:10:39+00:00,2025-09-26 05:30:18+00:00
SIA45,1939420,YSSY,YMML,2025-09-26 05:27:57+00:00,2025-09-26 05:30:18+00:00
QFA222,1909384,YPAD,YSSY,2025-09-26 03:40:39+00:00,2025-09-26 05:30:18+00:00
JST17,1474305,YMML,VTSP,2025-09-26 04:03:45+00:00,2025-09-26 05:30:18+00:00
VOZ951,1769094,YSSY,YBBN,2025-09-26 05:17:46+00:00,2025-09-26 05:30:18+00:00
JST690,1446710,YMHB,YPAD,2025-09-26 04:42:59+00:00,2025-09-26 05:30:18+00:00
QLK412D,1596254,YSSY,YBWW,2025-09-26 04:11:03+00:00,2025-09-26 05:30:18+00:00
VHXDX,1938055,YSSY,YSCB,2025-09-26 04:59:30+00:00,2025-09-26 05:30:18+00:00
VOZ1228,1830621,YMML,YMHB,2025-09-26 04:53:30+00:00,2025-09-26 05:30:18+00:00
QTR44Y,1871726,OTHH,NZAA,2025-09-25 17:53:49+00:00,2025-09-26 05:30:18+00:00
JST522,1872966,YSSY,YMML,2025-09-26 04:57:57+00:00,2025-09-26 05:30:18+00:00
QFA737,1395347,YSSY,YPAD,2025-09-26 03:36:50+00:00,2025-09-26 05:30:18+00:00
VOZ268,1944723,YSCB,YMML,2025-09-26 03:45:08+00:00,2025-09-26 05:30:18+00:00
UAE415,1927401,YMML,YSSY,2025-09-26 05:02:02+00:00,2025-09-26 05:30:18+00:00
HAL451,1774047,PHNL,YSSY,2025-09-25 19:27:18+00:00,2025-09-26 05:30:18+00:00
SIA95,1617935,WSSS,YSSY,2025-09-25 23:35:13+00:00,2025-09-26 05:30:18+00:00
VOZ529,1756772,YSSY,YBCG,2025-09-26 05:05:10+00:00,2025-09-26 05:30:18+00:00
JST513,1814212,YSSY,YMML,2025-09-26 03:54:52+00:00,2025-09-26 05:30:18+00:00
HTA,1826915,YMND,YSBK,2025-09-26 04:25:41+00:00,2025-09-26 05:30:18+00:00
JST682,1892342,YSCB,YSSY,2025-09-26 04:37:07+00:00,2025-09-26 05:30:18+00:00
VOZ932,1832397,YBBN,YSSY,2025-09-26 03:26:10+00:00,2025-09-26 05:30:18+00:00
AKU311,1929781,NZCH,YSSY,2025-09-26 03:47:42+00:00,2025-09-26 05:30:18+00:00
VOZ005,1651256,YPKU,YBAS,2025-09-26 03:32:52+00:00,2025-09-26 05:30:18+00:00
CPA16,1898345,YSSY,YPAD,2025-09-26 03:35:33+00:00,2025-09-26 05:30:18+00:00
JTP381,1811103,YBBN,YBRK,2025-09-26 04:41:18+00:00,2025-09-26 05:30:18+00:00
QFA2,1664193,WSSS,YSSY,2025-09-26 01:08:15+00:00,2025-09-26 05:30:18+00:00
PHENX84,1742607,YLTV,YJBY,2025-09-26 04:17:43+00:00,2025-09-26 05:30:18+00:00
JST767,1370952,YPAD,YSSY,2025-09-26 04:30:19+00:00,2025-09-26 05:30:18+00:00
VOZ1352,1558975,YPAD,YAYE,2025-09-26 04:25:33+00:00,2025-09-26 05:30:18+00:00
JST109,1829216,WADD,YPPH,2025-09-26 03:47:22+00:00,2025-09-26 05:30:18+00:00
QFA01,954915,YSSY,WSSS,2025-09-26 04:31:21+00:00,2025-09-26 05:30:18+00:00
JST680,1554750,YMHB,YPAD,2025-09-26 04:39:30+00:00,2025-09-26 05:30:18+00:00
QFA407,1143683,YSSY,YMML,2025-09-26 03:33:09+00:00,2025-09-26 05:30:18+00:00
LYN,1611121,YPJT,YPJT,2025-09-26 04:11:08+00:00,2025-09-26 05:30:18+00:00
JST942,1591076,YMML,YBCS,2025-09-26 01:49:48+00:00,2025-09-26 05:26:16+00:00
JST135,1592868,YBCS,NZCH,2025-09-26 01:50:08+00:00,2025-09-26 05:23:14+00:00
JST512,1763891,YMML,YSSY,2025-09-26 03:50:59+00:00,2025-09-26 05:21:14+00:00
FJI935,1385785,NFFN,YMML,2025-09-25 20:36:49+00:00,2025-09-26 05:20:13+00:00
